NUMEST	MEDEST	MEANEST	STDEV	HIGHEST	LOWEST	ACTUAL	FE
10	299.4	294.4	24.7	329.4	250.3	320.69	.0711089
2	158.5	158.5	11.2	166.4	150.6	177.61	.1205678
4	286.6	287.1	4	292.4	283	282.84	.0131193
5	235.6	197.4	77.9	278.3	111.7		10.68506
1	16.6	16.6		16.6	16.6	23.0404	.3879759
1	28.6	28.6		28.6	28.6	29.5282	.0324545
1	38.4	38.4		38.4	38.4	21.9718	.4278177
1	17.9	17.9		17.9	17.9	18.0231	.0068771
1	27.4	27.4		27.4	27.4	32.4547	.1844781
1	35.2	35.2		35.2	35.2	46.2855	.314929
1	55.9	55.9		55.9	55.9	64.895	.1609123
2	54.9	54.9	1.4	55.9	53.8	58.14	.0590164
2	64.3	64.3	4.2	67.3	61.3	75.62	.1760498
4	86.2	85.6	2.5	87.7	82.3	82.45	.0435035
2	93.2	93.2	2.2	94.8	91.7	103.37	.1091202
1	149.6	149.6		149.6	149.6	168.73	.1278743
1	151.2	151.2		151.2	151.2	147.31	.0257275
3	156.3	157	1.6	158.8	155.8	156.97	.0042866
1	125.5	125.5		125.5	125.5	171.79	.3688446
1	207.7	207.7		207.7	207.7	211.3198	.017428
1	167.2	167.2		167.2	167.2	179.7488	.0750526
1	376	376		376	376		7.170307
2			197.2				.0701674
1							.0984619
4							
1	2.4	2.4		2.4	2.4	1.5666	.34725
2	12.4	12.4	1.9	13.7	11	13.71	.1056452
4	17.1	17.4	1.3	19	16.3	20	.1695906
6	21.9	22.5	1.9	25.1	20.6	23.809	.0871689
6	30.7	30.5	2	33.1	27.1	22.9	.2540717
6	31.5	30.8	1.8	32.5	28	25.7372	.182946
4	37.2	37.1	1.1	38.2	35.7	38.875	.0450269
6	47.4	48.1	2.5	51.1	45.1	41.35	.1276371
3	3.8	16.1	21.3	40.7	3.8	10.8	1.842105
2	27.2	27.2	.7	27.7	26.7	24.42	.1022059
3	44.6	43.8	5.2	48.6	38.2	60.28	.3515695
4	70.9	69.6	3.4	72	64.7	64.945	.0839915
